feature_class	module	feature	gene_symbol	ids	n_ids	ko_ids	ec_ids	cazy_ids	camper_ids	confidence	description	reference
Bile_acid	Deconjugation	bsh / cbh	bsh / cbh	K01442,EC:3.5.1.24	2	K01442	EC:3.5.1.24				Bile salt hydrolase (choloylglycine hydrolase) | Hydrolyzes glycine- or taurine-conjugated bile acids to unconjugated bile acids	Ridlon et al., 2006; Rimal et al., 2024
Bile_acid	7-position oxidation	hdhA / 7α-hsdh	hdhA / 7α-hsdh	K00076,EC:1.1.1.159	2	K00076	EC:1.1.1.159				7α-hydroxysteroid dehydrogenase | Oxidizes 7α-hydroxy bile acids to 7-oxo intermediates; can participate in CDCA/UDCA interconversion	Coleman et al., 1994; Ridlon et al., 2006
Bile_acid	7-position epimerization	7β-hsdh	7β-hsdh	K23231,EC:1.1.1.201	2	K23231	EC:1.1.1.201				7β-hydroxysteroid dehydrogenase | Reduces 7-oxo bile acids to 7β-hydroxy bile acids, including UDCA formation	Lee et al., 2013
Bile_acid	3-position oxidation	3α-hsdh	3α-hsdh	K22604,EC:1.1.1.52	2	K22604	EC:1.1.1.52				3α-hydroxycholanate dehydrogenase (NAD+) | Interconverts 3α-hydroxy and 3-oxo bile acids	Doden et al., 2021
Bile_acid	3-position oxidation	baiA	baiA	K22605,EC:1.1.1.392	2	K22605	EC:1.1.1.392				3α-hydroxycholanate dehydrogenase (NADP+) | Interconverts 3α-hydroxy and 3-oxo unconjugated bile acids	Doden et al., 2021; Funabashi et al., 2020
Bile_acid	3-position epimerization	3β-hsdh	3β-hsdh	K22606,EC:1.1.1.391	2	K22606	EC:1.1.1.391				3β-hydroxycholanate 3-dehydrogenase (NAD+) | Interconverts 3β-hydroxy and 3-oxo bile acids; contributes to iso-bile-acid formation	Doden et al., 2021
Bile_acid	3-position epimerization	3β-hsdh	3β-hsdh	K22607,EC:1.1.1.393	2	K22607	EC:1.1.1.393				3β-hydroxycholanate 3-dehydrogenase (NADP+) | Interconverts 3β-hydroxy and 3-oxo bile acids; contributes to iso-bile-acid formation	Doden et al., 2021
Bile_acid	7α-dehydroxylation	baiB	baiB	K15868,EC:6.2.1.7	2	K15868	EC:6.2.1.7				Bile acid–CoA ligase | Activates unconjugated primary bile acids as CoA thioesters	Funabashi et al., 2020; Ridlon et al., 2010
Bile_acid	7α-dehydroxylation	baiA / baiA2	baiA / baiA2	K15869,EC:1.1.1.395	2	K15869	EC:1.1.1.395				3α-hydroxy bile acid-CoA-ester 3-dehydrogenase | Oxidizes the C3 hydroxyl group of bile acid-CoA intermediates and participates in terminal reduction	Funabashi et al., 2020
Bile_acid	7α-dehydroxylation	baiCD	baiCD	K15870,EC:1.3.1.115	2	K15870	EC:1.3.1.115				3-oxocholoyl-CoA 4-desaturase / pathway oxidoreductase | Introduces a Δ4 double bond and participates in stereospecific pathway reductions	Kang et al., 2008; Funabashi et al., 2020
Bile_acid	7α-dehydroxylation	baiF	baiF	K15871,EC:2.8.3.25	2	K15871	EC:2.8.3.25				Bile acid CoA-transferase | Transfers CoA between bile-acid intermediates and incoming bile acids	Funabashi et al., 2020
Bile_acid	7α-dehydroxylation	baiE	baiE	K15872,EC:4.2.1.106	2	K15872	EC:4.2.1.106				Bile-acid 7α-dehydratase | Catalyzes the defining dehydration step that removes the 7α-hydroxyl group	Funabashi et al., 2020; Kim et al., 2022
Bile_acid	7α-dehydroxylation	baiH	baiH	K15873,EC:1.3.1.116	2	K15873	EC:1.3.1.116				7β-hydroxy-3-oxochol-24-oyl-CoA 4-desaturase | Reduces/oxidizes unsaturated CoA-linked pathway intermediates	Kang et al., 2008; Funabashi et al., 2020
Bile_acid	7β-dehydroxylation-related	baiI	baiI	K15874	1	K15874					Bile acid 7β-dehydratase | KEGG-assigned 7β-dehydratase associated with secondary bile-acid transformations	Ridlon et al., 2006; Wise and Cummings, 2023
Bile_acid	Pathway reduction	baiN	baiN	K07007,EC:1.3.1.114	2	K07007	EC:1.3.1.114				3-dehydro-bile acid Δ4,6-reductase | Performs sequential reductions of unsaturated bile-acid intermediates	Funabashi et al., 2020; Lee et al., 2022
Bile_acid	Bile-acid uptake	baiG	baiG		0						Proton-dependent bile acid transporter | Imports unconjugated bile acids for intracellular bai-pathway metabolism	Mallonee and Hylemon, 1996
Bile_acid	Allo-bile-acid production	baiP	baiP		0						Bile acid 5α-reductase | Converts 3-oxo-Δ4 bile-acid intermediates toward 3-oxo-allo products	Lee et al., 2022
Bile_acid	Allo-bile-acid production	baiJ	baiJ		0						Bile acid 5α-reductase isoform | Converts 3-oxo-Δ4 bile-acid intermediates toward allo-bile acids; also implicated in CDCA pathway efficiency	Lee et al., 2022; Meibom et al., 2024
Bile_acid	12-position oxidation	12α-hsdh	12α-hsdh	EC:1.1.1.176	1		EC:1.1.1.176				12α-hydroxysteroid dehydrogenase | Oxidizes 12α-hydroxy bile acids to 12-oxo bile acids	Macdonald et al., 1979; Doden et al., 2018
Bile_acid	12-position epimerization	12β-hsdh	12β-hsdh	EC:1.1.1.238	1		EC:1.1.1.238				12β-hydroxysteroid dehydrogenase | Reduces 12-oxo bile acids to 12β-hydroxy products such as epiDCA	Doden et al., 2021
Bile_acid	Microbial reconjugation	bsh	bsh	K01442,EC:3.5.1.24	2	K01442	EC:3.5.1.24				Bile salt hydrolase with amine N-acyltransferase activity | Conjugates unconjugated bile acids with amino acids or amines to form microbial bile-acid amidates	Rimal et al., 2024; Guzior et al., 2024
