feature_class	module	feature	gene_symbol	ids	n_ids	ko_ids	ec_ids	cazy_ids	camper_ids	confidence	description	reference
Polyphenol	Myricetin	FCR; Flavanone/flavanonol-cleaving reductase	FCR; Flavanone/flavanonol-cleaving reductase	K26178,D00001	2	K26178			D00001	High	Flavonoids | Flavonols | flavanonols => hydroxydihydrochalcones	Qiang et al. 2023
Polyphenol	Myricetin	CHI; Chalcone isomerase	CHI; Chalcone isomerase	K26177,EC:5.5.1.6,D00003	3	K26177	EC:5.5.1.6		D00003	High	Flavonoids | Flavonols | flavanonols => auronols	Qiang et al. 2023
Polyphenol	Myricetin	PHY; Phloretin hydrolase [EC:3.7.1.4]	PHY; Phloretin hydrolase [EC:3.7.1.4]	K22906,EC:3.7.1.4,D00006	3	K22906	EC:3.7.1.4		D00006	High	Flavonoids | Flavonols | hydroxydihydrochalcones => phloroglucinol + caffeic acid	Qiang et al. 2023
Polyphenol	Myricetin	FLR; Flavone/flavonol reductase	FLR; Flavone/flavonol reductase	K26176,D00009	2	K26176			D00009	High	Flavonoids | Flavonols | flavonols => flavanonols	Qiang et al. 2023
Polyphenol	mul-berin	Flavonoids | Exact identity unresolved			0					Low	Flavonoids | Exact identity unresolved	Qiang et al. 2023
Polyphenol	rutin	FCR; Flavanone/flavanonol-cleaving reductase	FCR; Flavanone/flavanonol-cleaving reductase	K26178,D00001	2	K26178			D00001	Medium	Flavonoids | Flavonols; glycoside/derivative | flavanonols => hydroxydihydrochalcones	Qiang et al. 2023
Polyphenol	rutin	CHI; Chalcone isomerase	CHI; Chalcone isomerase	K26177,EC:5.5.1.6,D00003	3	K26177	EC:5.5.1.6		D00003	Medium	Flavonoids | Flavonols; glycoside/derivative | flavanonols => auronols	Qiang et al. 2023
Polyphenol	rutin	PHY; Phloretin hydrolase [EC:3.7.1.4]	PHY; Phloretin hydrolase [EC:3.7.1.4]	K22906,EC:3.7.1.4,D00006	3	K22906	EC:3.7.1.4		D00006	Medium	Flavonoids | Flavonols; glycoside/derivative | hydroxydihydrochalcones => phloroglucinol + caffeic acid	Qiang et al. 2023
Polyphenol	rutin	FLR; Flavone/flavonol reductase	FLR; Flavone/flavonol reductase	K26176,D00009	2	K26176			D00009	Medium	Flavonoids | Flavonols; glycoside/derivative | flavonols => flavanonols	Qiang et al. 2023
Polyphenol	rutin	QueD;quercetin-2,3-dioxygenase	QueD;quercetin-2,3-dioxygenase	K06911,K07155,EC:1.13.11.24,D00040	4	K06911,K07155	EC:1.13.11.24		D00040	Medium	Flavonoids | Flavonols; glycoside/derivative | quercetin => 2-(3,4-dihydroxybenzoyloxy)-4,6-dihydroxybenzoate	Qiang et al. 2023
Polyphenol	quercetin-rhamnose-dihexoside	FCR; Flavanone/flavanonol-cleaving reductase	FCR; Flavanone/flavanonol-cleaving reductase	K26178,D00001	2	K26178			D00001	Medium	Flavonoids | Flavonols; glycoside/derivative | flavanonols => hydroxydihydrochalcones	Qiang et al. 2023
Polyphenol	quercetin-rhamnose-dihexoside	CHI; Chalcone isomerase	CHI; Chalcone isomerase	K26177,EC:5.5.1.6,D00003	3	K26177	EC:5.5.1.6		D00003	Medium	Flavonoids | Flavonols; glycoside/derivative | flavanonols => auronols	Qiang et al. 2023
Polyphenol	quercetin-rhamnose-dihexoside	PHY; Phloretin hydrolase [EC:3.7.1.4]	PHY; Phloretin hydrolase [EC:3.7.1.4]	K22906,EC:3.7.1.4,D00006	3	K22906	EC:3.7.1.4		D00006	Medium	Flavonoids | Flavonols; glycoside/derivative | hydroxydihydrochalcones => phloroglucinol + caffeic acid	Qiang et al. 2023
Polyphenol	quercetin-rhamnose-dihexoside	FLR; Flavone/flavonol reductase	FLR; Flavone/flavonol reductase	K26176,D00009	2	K26176			D00009	Medium	Flavonoids | Flavonols; glycoside/derivative | flavonols => flavanonols	Qiang et al. 2023
Polyphenol	quercetin-rhamnose-dihexoside	QueD;quercetin-2,3-dioxygenase	QueD;quercetin-2,3-dioxygenase	K06911,K07155,EC:1.13.11.24,D00040	4	K06911,K07155	EC:1.13.11.24		D00040	Medium	Flavonoids | Flavonols; glycoside/derivative | quercetin => 2-(3,4-dihydroxybenzoyloxy)-4,6-dihydroxybenzoate	Qiang et al. 2023
Polyphenol	quercetin-3-O-rubutin	FCR; Flavanone/flavanonol-cleaving reductase	FCR; Flavanone/flavanonol-cleaving reductase	K26178,D00001	2	K26178			D00001	Medium	Flavonoids | Flavonols; glycoside/derivative | flavanonols => hydroxydihydrochalcones	Qiang et al. 2023
Polyphenol	quercetin-3-O-rubutin	CHI; Chalcone isomerase	CHI; Chalcone isomerase	K26177,EC:5.5.1.6,D00003	3	K26177	EC:5.5.1.6		D00003	Medium	Flavonoids | Flavonols; glycoside/derivative | flavanonols => auronols	Qiang et al. 2023
Polyphenol	quercetin-3-O-rubutin	PHY; Phloretin hydrolase [EC:3.7.1.4]	PHY; Phloretin hydrolase [EC:3.7.1.4]	K22906,EC:3.7.1.4,D00006	3	K22906	EC:3.7.1.4		D00006	Medium	Flavonoids | Flavonols; glycoside/derivative | hydroxydihydrochalcones => phloroglucinol + caffeic acid	Qiang et al. 2023
Polyphenol	quercetin-3-O-rubutin	FLR; Flavone/flavonol reductase	FLR; Flavone/flavonol reductase	K26176,D00009	2	K26176			D00009	Medium	Flavonoids | Flavonols; glycoside/derivative | flavonols => flavanonols	Qiang et al. 2023
Polyphenol	quercetin-3-O-rubutin	QueD;quercetin-2,3-dioxygenase	QueD;quercetin-2,3-dioxygenase	K06911,K07155,EC:1.13.11.24,D00040	4	K06911,K07155	EC:1.13.11.24		D00040	Medium	Flavonoids | Flavonols; glycoside/derivative | quercetin => 2-(3,4-dihydroxybenzoyloxy)-4,6-dihydroxybenzoate	Qiang et al. 2023
Polyphenol	Quercetin	FCR; Flavanone/flavanonol-cleaving reductase	FCR; Flavanone/flavanonol-cleaving reductase	K26178,D00001	2	K26178			D00001	High	Flavonoids | Flavonols | flavanonols => hydroxydihydrochalcones	Qiang et al. 2023
Polyphenol	Quercetin	CHI; Chalcone isomerase	CHI; Chalcone isomerase	K26177,EC:5.5.1.6,D00003	3	K26177	EC:5.5.1.6		D00003	High	Flavonoids | Flavonols | flavanonols => auronols	Qiang et al. 2023
Polyphenol	Quercetin	PHY; Phloretin hydrolase [EC:3.7.1.4]	PHY; Phloretin hydrolase [EC:3.7.1.4]	K22906,EC:3.7.1.4,D00006	3	K22906	EC:3.7.1.4		D00006	High	Flavonoids | Flavonols | hydroxydihydrochalcones => phloroglucinol + caffeic acid	Qiang et al. 2023
Polyphenol	Quercetin	FLR; Flavone/flavonol reductase	FLR; Flavone/flavonol reductase	K26176,D00009	2	K26176			D00009	High	Flavonoids | Flavonols | flavonols => flavanonols	Qiang et al. 2023
Polyphenol	Quercetin	QueD;quercetin-2,3-dioxygenase	QueD;quercetin-2,3-dioxygenase	K06911,K07155,EC:1.13.11.24,D00040	4	K06911,K07155	EC:1.13.11.24		D00040	High	Flavonoids | Flavonols | quercetin => 2-(3,4-dihydroxybenzoyloxy)-4,6-dihydroxybenzoate	Qiang et al. 2023
Polyphenol	kaempferol	FCR; Flavanone/flavanonol-cleaving reductase	FCR; Flavanone/flavanonol-cleaving reductase	K26178,D00001	2	K26178			D00001	High	Flavonoids | Flavonols | flavanonols => hydroxydihydrochalcones	Qiang et al. 2023
Polyphenol	kaempferol	CHI; Chalcone isomerase	CHI; Chalcone isomerase	K26177,EC:5.5.1.6,D00003	3	K26177	EC:5.5.1.6		D00003	High	Flavonoids | Flavonols | flavanonols => auronols	Qiang et al. 2023
Polyphenol	kaempferol	PHY; Phloretin hydrolase [EC:3.7.1.4]	PHY; Phloretin hydrolase [EC:3.7.1.4]	K22906,EC:3.7.1.4,D00006	3	K22906	EC:3.7.1.4		D00006	High	Flavonoids | Flavonols | hydroxydihydrochalcones => phloroglucinol + caffeic acid	Qiang et al. 2023
Polyphenol	kaempferol	FLR; Flavone/flavonol reductase	FLR; Flavone/flavonol reductase	K26176,D00009	2	K26176			D00009	High	Flavonoids | Flavonols | flavonols => flavanonols	Qiang et al. 2023
Polyphenol	naringin	FCR; Flavanone/flavanonol-cleaving reductase	FCR; Flavanone/flavanonol-cleaving reductase	K26178,D00001	2	K26178			D00001	Medium	Flavonoids | Flavanones; glycoside | flavanones => dihydrochalcones	Qiang et al. 2023
Polyphenol	naringin	CHI; Chalcone isomerase	CHI; Chalcone isomerase	K26177,EC:5.5.1.6,D00003	3	K26177	EC:5.5.1.6		D00003	Medium	Flavonoids | Flavanones; glycoside | flavanones <=> chalcones	Qiang et al. 2023
Polyphenol	naringin	PHY; Phloretin hydrolase [EC:3.7.1.4]	PHY; Phloretin hydrolase [EC:3.7.1.4]	K22906,EC:3.7.1.4,D00006	3	K22906	EC:3.7.1.4		D00006	Medium	Flavonoids | Flavanones; glycoside | dihydrochalcone => phloroglucinol + 3-(4-hydroxyphenyl)propionic acid	Qiang et al. 2023
Polyphenol	naringin	FLR; Flavone/flavonol reductase	FLR; Flavone/flavonol reductase	K26176,D00009	2	K26176			D00009	Medium	Flavonoids | Flavanones; glycoside | flavones => flavanones	Qiang et al. 2023
Polyphenol	naringin	sam5;flavonoid hydroxylase	sam5;flavonoid hydroxylase	D00039	1				D00039	Medium	Flavonoids | Flavanones; glycoside | flavanones => hydroxyflavanones	Qiang et al. 2023
Polyphenol	aurantiamarin	Flavonoids | Flavonoid glycoside; exact 			0					Low	Flavonoids | Flavonoid glycoside; exact ontology unresolved	Qiang et al. 2023
Polyphenol	neohesperidin	FCR; Flavanone/flavanonol-cleaving reductase	FCR; Flavanone/flavanonol-cleaving reductase	K26178,D00001	2	K26178			D00001	Medium	Flavonoids | Flavanones; glycoside | flavanones => dihydrochalcones	Qiang et al. 2023
Polyphenol	neohesperidin	CHI; Chalcone isomerase	CHI; Chalcone isomerase	K26177,EC:5.5.1.6,D00003	3	K26177	EC:5.5.1.6		D00003	Medium	Flavonoids | Flavanones; glycoside | flavanones <=> chalcones	Qiang et al. 2023
Polyphenol	neohesperidin	PHY; Phloretin hydrolase [EC:3.7.1.4]	PHY; Phloretin hydrolase [EC:3.7.1.4]	K22906,EC:3.7.1.4,D00006	3	K22906	EC:3.7.1.4		D00006	Medium	Flavonoids | Flavanones; glycoside | dihydrochalcone => phloroglucinol + 3-(4-hydroxyphenyl)propionic acid	Qiang et al. 2023
Polyphenol	neohesperidin	FLR; Flavone/flavonol reductase	FLR; Flavone/flavonol reductase	K26176,D00009	2	K26176			D00009	Medium	Flavonoids | Flavanones; glycoside | flavones => flavanones	Qiang et al. 2023
Polyphenol	naringenin	FCR; Flavanone/flavanonol-cleaving reductase	FCR; Flavanone/flavanonol-cleaving reductase	K26178,D00001	2	K26178			D00001	High	Flavonoids | Flavanones | flavanones => dihydrochalcones	Qiang et al. 2023
Polyphenol	naringenin	CHI; Chalcone isomerase	CHI; Chalcone isomerase	K26177,EC:5.5.1.6,D00003	3	K26177	EC:5.5.1.6		D00003	High	Flavonoids | Flavanones | flavanones <=> chalcones	Qiang et al. 2023
Polyphenol	naringenin	PHY; Phloretin hydrolase [EC:3.7.1.4]	PHY; Phloretin hydrolase [EC:3.7.1.4]	K22906,EC:3.7.1.4,D00006	3	K22906	EC:3.7.1.4		D00006	High	Flavonoids | Flavanones | dihydrochalcone => phloroglucinol + 3-(4-hydroxyphenyl)propionic acid	Qiang et al. 2023
Polyphenol	naringenin	FLR; Flavone/flavonol reductase	FLR; Flavone/flavonol reductase	K26176,D00009	2	K26176			D00009	High	Flavonoids | Flavanones | flavones => flavanones	Qiang et al. 2023
Polyphenol	naringenin	sam5;flavonoid hydroxylase	sam5;flavonoid hydroxylase	D00039	1				D00039	High	Flavonoids | Flavanones | flavanones => hydroxyflavanones	Qiang et al. 2023
Polyphenol	hesperetin	FCR; Flavanone/flavanonol-cleaving reductase	FCR; Flavanone/flavanonol-cleaving reductase	K26178,D00001	2	K26178			D00001	High	Flavonoids | Flavanones | flavanones => dihydrochalcones	Qiang et al. 2023
Polyphenol	hesperetin	CHI; Chalcone isomerase	CHI; Chalcone isomerase	K26177,EC:5.5.1.6,D00003	3	K26177	EC:5.5.1.6		D00003	High	Flavonoids | Flavanones | flavanones <=> chalcones	Qiang et al. 2023
Polyphenol	hesperetin	PHY; Phloretin hydrolase [EC:3.7.1.4]	PHY; Phloretin hydrolase [EC:3.7.1.4]	K22906,EC:3.7.1.4,D00006	3	K22906	EC:3.7.1.4		D00006	High	Flavonoids | Flavanones | dihydrochalcone => phloroglucinol + 3-(4-hydroxyphenyl)propionic acid	Qiang et al. 2023
Polyphenol	hesperetin	FLR; Flavone/flavonol reductase	FLR; Flavone/flavonol reductase	K26176,D00009	2	K26176			D00009	High	Flavonoids | Flavanones | flavones => flavanones	Qiang et al. 2023
Polyphenol	kaempferol-3-O-rubutin	FCR; Flavanone/flavanonol-cleaving reductase	FCR; Flavanone/flavanonol-cleaving reductase	K26178,D00001	2	K26178			D00001	Medium	Flavonoids | Flavonols; glycoside/derivative | flavanonols => hydroxydihydrochalcones	Qiang et al. 2023
Polyphenol	kaempferol-3-O-rubutin	CHI; Chalcone isomerase	CHI; Chalcone isomerase	K26177,EC:5.5.1.6,D00003	3	K26177	EC:5.5.1.6		D00003	Medium	Flavonoids | Flavonols; glycoside/derivative | flavanonols => auronols	Qiang et al. 2023
Polyphenol	kaempferol-3-O-rubutin	PHY; Phloretin hydrolase [EC:3.7.1.4]	PHY; Phloretin hydrolase [EC:3.7.1.4]	K22906,EC:3.7.1.4,D00006	3	K22906	EC:3.7.1.4		D00006	Medium	Flavonoids | Flavonols; glycoside/derivative | hydroxydihydrochalcones => phloroglucinol + caffeic acid	Qiang et al. 2023
Polyphenol	kaempferol-3-O-rubutin	FLR; Flavone/flavonol reductase	FLR; Flavone/flavonol reductase	K26176,D00009	2	K26176			D00009	Medium	Flavonoids | Flavonols; glycoside/derivative | flavonols => flavanonols	Qiang et al. 2023
Polyphenol	Neochlorogenic acid	ChlE;chlorogenic acid esterase	ChlE;chlorogenic acid esterase	EC:3.1.1.42,D00034	2		EC:3.1.1.42		D00034	Medium	Phenolic_acids | Hydroxycinnamic_acids; caffeoylquinic acid isomer | chlorogenate => caffeic acid + quinate	Qiang et al. 2023
Polyphenol	protocatechualdehyde	Other_polyphenols | Hydroxybenzaldehydes			0					Low	Other_polyphenols | Hydroxybenzaldehydes/aldehyde derivative	Qiang et al. 2023
Polyphenol	p-hydroxybenzoic acid	hbaA; 4-hydroxybenzoate-CoA ligase [EC:6.2.1.27 6.2.1.25]	hbaA; 4-hydroxybenzoate-CoA ligase [EC:6.2.1.27 6.2.1.25]	K04105,EC:6.2.1.25,EC:6.2.1.27	3	K04105	EC:6.2.1.25,EC:6.2.1.27			High	Phenolic_acids | Hydroxybenzoic_acids | 4-Hydroxybenzoate => 4-Hydroxybenzoyl-CoA	Qiang et al. 2023
Polyphenol	p-hydroxybenzoic acid	hcrC; 4-hydroxybenzoyl-CoA reductase subunit gamma [EC:1.1.7.1]	hcrC; 4-hydroxybenzoyl-CoA reductase subunit gamma [EC:1.1.7.1]	K04107,EC:1.1.7.11	2	K04107	EC:1.1.7.11			High	Phenolic_acids | Hydroxybenzoic_acids | 4-Hydroxybenzoyl-CoA => Benzoyl-CoA	Qiang et al. 2023
Polyphenol	p-hydroxybenzoic acid	hcrA; 4-hydroxybenzoyl-CoA reductase subunit alpha [EC:1.1.7.1]	hcrA; 4-hydroxybenzoyl-CoA reductase subunit alpha [EC:1.1.7.1]	K04108	1	K04108				High	Phenolic_acids | Hydroxybenzoic_acids | 4-Hydroxybenzoyl-CoA => Benzoyl-CoA	Qiang et al. 2023
Polyphenol	p-hydroxybenzoic acid	hcrB; 4-hydroxybenzoyl-CoA reductase subunit beta [EC:1.1.7.1]	hcrB; 4-hydroxybenzoyl-CoA reductase subunit beta [EC:1.1.7.1]	K04109	1	K04109				High	Phenolic_acids | Hydroxybenzoic_acids | 4-Hydroxybenzoyl-CoA => Benzoyl-CoA	Qiang et al. 2023
Polyphenol	p-coumaric acid	sam5;flavonoid hydroxylase	sam5;flavonoid hydroxylase	D00039	1				D00039	High	Phenolic_acids | Hydroxycinnamic_acids | coumaric acid => caffeic acid	Qiang et al. 2023
Polyphenol	chlorogenic acid	ChlE;chlorogenic acid esterase	ChlE;chlorogenic acid esterase	EC:3.1.1.42,D00034	2		EC:3.1.1.42		D00034	High	Phenolic_acids | Hydroxycinnamic_acids; caffeoylquinic acid ester | chlorogenate => caffeic acid + quinate	Qiang et al. 2023
Polyphenol	caffeic acid	CarE;electron transfer flavoprotein B	CarE;electron transfer flavoprotein B	K22432,D00014	2	K22432			D00014	High	Phenolic_acids | Hydroxycinnamic_acids | electron transfer	Qiang et al. 2023
Polyphenol	caffeic acid	CarD;electron transfer flavoprotein A	CarD;electron transfer flavoprotein A	K22431,D00015	2	K22431			D00015	High	Phenolic_acids | Hydroxycinnamic_acids | electron transfer	Qiang et al. 2023
Polyphenol	caffeic acid	CarC;caffeyl-CoA reductase	CarC;caffeyl-CoA reductase	K22430,EC:1.3.1.108,D00016	3	K22430	EC:1.3.1.108		D00016	High	Phenolic_acids | Hydroxycinnamic_acids | caffeyl-coA => hydrocaffeyl-coA	Qiang et al. 2023
Polyphenol	caffeic acid	CarB;caffeyl-CoA synthetase	CarB;caffeyl-CoA synthetase	D00017	1				D00017	High	Phenolic_acids | Hydroxycinnamic_acids | caffeate => caffeyl-coenzyme A	Qiang et al. 2023
Polyphenol	caffeic acid	CarA;hydrocaffeyl-CoA:caffeate CoA transferase	CarA;hydrocaffeyl-CoA:caffeate CoA transferase	D00018	1				D00018	High	Phenolic_acids | Hydroxycinnamic_acids | hydrocaffeyl-coA => caffeyl-coA + hydrocaffeate	Qiang et al. 2023
Polyphenol	ferulic acid	FCS;feruloyl-CoA synthetase	FCS;feruloyl-CoA synthetase	K12508,EC:6.2.1.34,D00038	3	K12508	EC:6.2.1.34		D00038	High	Phenolic_acids | Hydroxycinnamic_acids | ferulic acid => feruloyl-coA	Qiang et al. 2023
Polyphenol	ferulic acid	feruloyl-CoA hydratase/lyase	feruloyl-CoA hydratase/lyase	K18383	1	K18383				High	Phenolic_acids | Hydroxycinnamic_acids | feruloyl-CoA => vanillin	Qiang et al. 2023
Polyphenol	cryptochlorogenic acid	ChlE;chlorogenic acid esterase	ChlE;chlorogenic acid esterase	EC:3.1.1.42,D00034	2		EC:3.1.1.42		D00034	Medium	Phenolic_acids | Hydroxycinnamic_acids; caffeoylquinic acid isomer | chlorogenate => caffeic acid + quinate	Qiang et al. 2023
Polyphenol	Gallate	lpdC;gallate decarboxylase subunit C	lpdC;gallate decarboxylase subunit C	K22958	1	K22958				High	Phenolic_acids | Hydroxybenzoic_acids | gallate => pyrogallol	Qiang et al. 2023
Polyphenol	Gallate	lpdB;gallate decarboxylase subunit B	lpdB;gallate decarboxylase subunit B	K22959	1	K22959				High	Phenolic_acids | Hydroxybenzoic_acids | gallate => pyrogallol	Qiang et al. 2023
Polyphenol	Gallate	lpdD;gallate decarboxylase subunit D	lpdD;gallate decarboxylase subunit D	K22960	1	K22960				High	Phenolic_acids | Hydroxybenzoic_acids | gallate => pyrogallol	Qiang et al. 2023
Polyphenol	Gallate	GalA;gallate dioxygenase	GalA;gallate dioxygenase	K04099	1	K04099				High	Phenolic_acids | Hydroxybenzoic_acids | gallate => (1E)-4-oxobut-1-ene-1,2,4-tricarboxylate	Qiang et al. 2023
Polyphenol	catechin	Flavonoids | Flavanols			0					Low	Flavonoids | Flavanols	Qiang et al. 2023
Polyphenol	vanillic acid	vanA; vanillate monooxygenase subunit A	vanA; vanillate monooxygenase subunit A	K03862	1	K03862				High	Phenolic_acids | Hydroxybenzoic_acids | vanillate => protocatechuate, formaldehyde	Qiang et al. 2023
Polyphenol	vanillic acid	vanB; vanillate monooxygenase subunit B	vanB; vanillate monooxygenase subunit B	K03863	1	K03863				High	Phenolic_acids | Hydroxybenzoic_acids | vanillate => protocatechuate, formaldehyde	Qiang et al. 2023
Polyphenol	vanillic acid	ligM; vanillate O-demethylase	ligM; vanillate O-demethylase	K15066	1	K15066				High	Phenolic_acids | Hydroxybenzoic_acids | vanillate => protocatechuate	Qiang et al. 2023
Polyphenol	syringic acid	desA; syringate O-demethylase [EC:2.1.1.-]	desA; syringate O-demethylase [EC:2.1.1.-]	K15064	1	K15064				High	Phenolic_acids | Hydroxybenzoic_acids | Syringic acid => 3-O-Methylgallate	Qiang et al. 2023
Polyphenol	salicylic acid	nahG; salicylate hydroxylase	nahG; salicylate hydroxylase	K00480	1	K00480				Medium	Phenolic_acids | Hydroxybenzoic_acids | salicylate => catechol	Qiang et al. 2023
Polyphenol	salicylic acid	sdgC; salicylyl-CoA 5-hydroxylase	sdgC; salicylyl-CoA 5-hydroxylase	K21684	1	K21684				Medium	Phenolic_acids | Hydroxybenzoic_acids | salicyloyl-CoA => gentisyl-CoA	Qiang et al. 2023
Polyphenol	salicylic acid	nagH; salicylate-5-hydroxylase	nagH; salicylate-5-hydroxylase	K18242	1	K18242				Medium	Phenolic_acids | Hydroxybenzoic_acids | salicylate => gentisate	Qiang et al. 2023
Polyphenol	gallogen	Phenolic_acids | Hydroxybenzoic_acids			0					Low	Phenolic_acids | Hydroxybenzoic_acids	Qiang et al. 2023
Polyphenol	4-hydroxybenzoic acid	hbaA; 4-hydroxybenzoate-CoA ligase [EC:6.2.1.27 6.2.1.25]	hbaA; 4-hydroxybenzoate-CoA ligase [EC:6.2.1.27 6.2.1.25]	K04105,EC:6.2.1.25,EC:6.2.1.27	3	K04105	EC:6.2.1.25,EC:6.2.1.27			High	Phenolic_acids | Hydroxybenzoic_acids | 4-Hydroxybenzoate => 4-Hydroxybenzoyl-CoA	Qiang et al. 2023
Polyphenol	4-hydroxybenzoic acid	hcrC; 4-hydroxybenzoyl-CoA reductase subunit gamma [EC:1.1.7.1]	hcrC; 4-hydroxybenzoyl-CoA reductase subunit gamma [EC:1.1.7.1]	K04107,EC:1.1.7.11	2	K04107	EC:1.1.7.11			High	Phenolic_acids | Hydroxybenzoic_acids | 4-Hydroxybenzoyl-CoA => Benzoyl-CoA	Qiang et al. 2023
Polyphenol	4-hydroxybenzoic acid	hcrA; 4-hydroxybenzoyl-CoA reductase subunit alpha [EC:1.1.7.1]	hcrA; 4-hydroxybenzoyl-CoA reductase subunit alpha [EC:1.1.7.1]	K04108	1	K04108				High	Phenolic_acids | Hydroxybenzoic_acids | 4-Hydroxybenzoyl-CoA => Benzoyl-CoA	Qiang et al. 2023
Polyphenol	4-hydroxybenzoic acid	hcrB; 4-hydroxybenzoyl-CoA reductase subunit beta [EC:1.1.7.1]	hcrB; 4-hydroxybenzoyl-CoA reductase subunit beta [EC:1.1.7.1]	K04109	1	K04109				High	Phenolic_acids | Hydroxybenzoic_acids | 4-Hydroxybenzoyl-CoA => Benzoyl-CoA	Qiang et al. 2023
Polyphenol	protocatechuic acid	ligA; protocatechuate 4,5-dioxygenase, alpha chain	ligA; protocatechuate 4,5-dioxygenase, alpha chain	K04100	1	K04100				High	Phenolic_acids | Hydroxybenzoic_acids | protocatechuate => 2-hydroxy-4-carboxymuconic semialdehyde	Qiang et al. 2023
Polyphenol	protocatechuic acid	ligB; protocatechuate 4,5-dioxygenase, beta chain	ligB; protocatechuate 4,5-dioxygenase, beta chain	K04101	1	K04101				High	Phenolic_acids | Hydroxybenzoic_acids | protocatechuate => 2-hydroxy-4-carboxymuconic semialdehyde	Qiang et al. 2023
Polyphenol	protocatechuic acid	ligK; 4-oxalocitramalate aldolase	ligK; 4-oxalocitramalate aldolase	K10218	1	K10218				High	Phenolic_acids | Hydroxybenzoic_acids | 2-hydroxy-4-oxobutane-1,2,4-tricarboxylate => pyruvate, oxaloacetate	Qiang et al. 2023
Polyphenol	protocatechuic acid	ligC; 2-hydroxy-4-carboxymuconic-6-semialdehyde dehydrogenase	ligC; 2-hydroxy-4-carboxymuconic-6-semialdehyde dehydrogenase	K10219	1	K10219				High	Phenolic_acids | Hydroxybenzoic_acids | 2-hydroxy-4-carboxymuconic semialdehyde hemiacetal => 2-pyrone-4,6-dicarboxylate	Qiang et al. 2023
Polyphenol	protocatechuic acid	ligJ; 4-oxalomescaconate hydratase	ligJ; 4-oxalomescaconate hydratase	K10220,K16515	2	K10220,K16515				High	Phenolic_acids | Hydroxybenzoic_acids | (1E,3E)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylate => 2-hydroxy-4-oxobutane-1,2,4-tricarboxylate	Qiang et al. 2023
Polyphenol	protocatechuic acid	ligI; 2-pyrone-4,6-dicarboxylate hydrolase	ligI; 2-pyrone-4,6-dicarboxylate hydrolase	K10221	1	K10221				High	Phenolic_acids | Hydroxybenzoic_acids | 2-pyrone-4,6-dicarboxylate => (1E)-4-oxobut-1-ene-1,2,4-tricarboxylate	Qiang et al. 2023
Polyphenol	protocatechuic acid	galD; 4-oxalomesaconate tautomerase	galD; 4-oxalomesaconate tautomerase	K16514	1	K16514				High	Phenolic_acids | Hydroxybenzoic_acids | (1E)-4-oxobut-1-ene-1,2,4-tricarboxylate => (1E,3E)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylate	Qiang et al. 2023
Polyphenol	protocatechuic acid	pcaG; protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]	pcaG; protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]	K00448,EC:1.13.11.3	2	K00448	EC:1.13.11.3			High	Phenolic_acids | Hydroxybenzoic_acids | 3,4-dihydroxybenzoate => 3-Carboxy-cis,cis-muconate	Qiang et al. 2023
Polyphenol	protocatechuic acid	pcaH; protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]	pcaH; protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]	K00449	1	K00449				High	Phenolic_acids | Hydroxybenzoic_acids | 3,4-dihydroxybenzoate => 3-Carboxy-cis,cis-muconate	Qiang et al. 2023
Polyphenol	protocatechuic acid	pcaD; 3-oxoadipate enol-lactonase [EC:3.1.1.24]	pcaD; 3-oxoadipate enol-lactonase [EC:3.1.1.24]	K01055,EC:3.1.1.24	2	K01055	EC:3.1.1.24			High	Phenolic_acids | Hydroxybenzoic_acids | 3-Oxoadipate enol-lactone => 3-Oxoadipate	Qiang et al. 2023
Polyphenol	protocatechuic acid	pcaC; 4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	pcaC; 4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	K01607,EC:4.1.1.44	2	K01607	EC:4.1.1.44			High	Phenolic_acids | Hydroxybenzoic_acids | 4-Carboxymuconolactone => 3-Oxoadipate enol-lactone	Qiang et al. 2023
