feature_class	module	feature	gene_symbol	ids	n_ids	ko_ids	ec_ids	cazy_ids	camper_ids	confidence	description	reference
SCFA48	butyrate:P1 Acetyl-CoA	BUT-01	Thl	K00626,K00632,EC:2.3.1.9	3	K00626,K00632	EC:2.3.1.9			Multiple; see expanded mapping	Acetyl-CoA acetyltransferase / thiolase	Frolova 2022; Vital 2014; Louis & Flint 2017
SCFA48	butyrate:P1 Acetyl-CoA	BUT-02	Hbd	K00074,EC:1.1.1.157	2	K00074	EC:1.1.1.157			K00074	3-hydroxybutyryl-CoA dehydrogenase	Frolova 2022; Vital 2014
SCFA48	butyrate:P1 Acetyl-CoA	BUT-03	Crt	K01692,K01825,EC:4.2.1.17,EC:4.2.1.55	4	K01692,K01825	EC:4.2.1.17,EC:4.2.1.55			Multiple; see expanded mapping	3-hydroxybutyryl-CoA dehydratase / crotonase	Frolova 2022; Vital 2014
SCFA48	butyrate:Shared terminal core	BUT-04	Bcd-EtfAB	K00248,K03521,K03522,EC:1.3.8.1	4	K00248,K03521,K03522	EC:1.3.8.1			Multiple; see expanded mapping	Butyryl-CoA dehydrogenase–electron transfer flavoprotein complex	Frolova 2022; Vital 2014; Louis & Flint 2017
SCFA48	butyrate:P2 Succinate/4-hydroxybutyrate	BUT-05	AldD	EC:1.2.1.76	1		EC:1.2.1.76			No specific KO identified	Succinic semialdehyde dehydrogenase, CoA-acylating	Frolova 2022
SCFA48	butyrate:P2 Succinate/4-hydroxybutyrate	BUT-06	AbfH	K00043,EC:1.1.1.61	2	K00043	EC:1.1.1.61			K00043	4-hydroxybutyrate dehydrogenase	Frolova 2022
SCFA48	butyrate:P2 Succinate/4-hydroxybutyrate	BUT-07	Cat	EC:2.8.3.-	1		EC:2.8.3.-			No specific KO identified	4-hydroxybutyrate CoA-transferase	Frolova 2022
SCFA48	butyrate:P2 Succinate/4-hydroxybutyrate	BUT-08	AbfD	K14534,EC:4.2.1.120	2	K14534	EC:4.2.1.120			K14534	4-hydroxybutyryl-CoA dehydratase	Frolova 2022; Vital 2014
SCFA48	butyrate:P3 Glutamate/glutarate	BUT-09	GctA	K01039,EC:2.8.3.12	2	K01039	EC:2.8.3.12			K01039	Glutaconate CoA-transferase subunit A	Frolova 2022; Vital 2014
SCFA48	butyrate:P3 Glutamate/glutarate	BUT-10	GctB	K01040,EC:2.8.3.12	2	K01040	EC:2.8.3.12			K01040	Glutaconate CoA-transferase subunit B	Frolova 2022; Vital 2014
