feature_class	module	feature	gene_symbol	ids	n_ids	ko_ids	ec_ids	cazy_ids	camper_ids	confidence	description	reference
Carotenoids	β-Carotene	BCMO1, BCDO1	BCMO1, BCDO1	K00515	1	K00515	EC:1.13.11.63			High for β-carotene; mostly animal/plant annotation, but useful functional reference	beta-carotene 15,15'-dioxygenase | Central oxidative cleavage to retinal	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	β-Carotene	blh	blh	K21817	1	K21817	EC:1.13.11.63			High for β-carotene; stronger microbial relevance than BCDO1	beta-carotene 15,15'-dioxygenase | Central oxidative cleavage to retinal	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	β-Carotene	BCDO2	BCDO2	K10252	1	K10252	EC:1.13.11.71			High for β-carotene; broad β,β-carotenoid cleavage	beta,beta-carotene 9',10'-dioxygenase | Eccentric oxidative cleavage	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	β-Carotene	CCD7	CCD7	K17912	1	K17912	EC:1.13.11.68			High for 9-cis-β-carotene; not necessarily all-trans β-carotene	9-cis-beta-carotene 9',10'-cleaving dioxygenase | 9',10' oxidative cleavage	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040; Sun et al. 2026, Industrial Crops & Products, DOI: https://doi.org/10.1016/j.indcrop.2026.123495
Carotenoids	β-Carotene	crtR	crtR	K02294	1	K02294	EC:1.14.13.-			High for β-carotene hydroxylation; microbial/plant homologs possible	beta-carotene hydroxylase | Hydroxylation toward β-cryptoxanthin/zeaxanthin	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	β-Carotene	crtZ	crtZ	K15746	1	K15746	EC:1.14.15.24			High for β-carotene and β-cryptoxanthin hydroxylation	beta-carotene 3-hydroxylase | Hydroxylation toward zeaxanthin	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040; Sun et al. 2026, Industrial Crops & Products, DOI: https://doi.org/10.1016/j.indcrop.2026.123495
Carotenoids	β-Carotene	CYP175A	CYP175A	K22492	1	K22492	EC:1.14.15.24			High for β-carotene hydroxylation in some bacteria	beta-carotene 3-hydroxylase | Hydroxylation toward zeaxanthin	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	β-Carotene	crtO	crtO	K02292	1	K02292				Moderate; β-carotene-specific ketolase annotation	beta-carotene ketolase (CrtO type) | Ketolation	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	β-Carotene	crtW, BKT	crtW, BKT	K09836	1	K09836	EC:1.14.99.63,EC:1.14.99.64			Moderate-high; explicitly includes β-carotene and zeaxanthin	beta-carotene/zeaxanthin 4-ketolase | 4-ketolation	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
Carotenoids	β-Carotene	CRTS, ASY	CRTS, ASY	K23037	1	K23037	EC:1.14.15.24,EC:1.14.99.-,EC:1.14.99.63			Moderate; multifunctional β-carotene modification	beta-carotene 4-ketolase/3-hydroxylase | 4-ketolation/3-hydroxylation	Hu et al. 2022, Foods, DOI: https://doi.org/10.3390/foods11223731; Juan et al. 2022, Journal of Functional Foods, DOI: https://doi.org/10.1016/j.jff.2022.105049; Kulczynski & Gramza-Michalowska 2016, Polish Journal of Food and Nutrition Sciences, DOI: 10.1515/pjfns-2015-0040
