feature_class	module	feature	gene_symbol	ids	n_ids	ko_ids	ec_ids	cazy_ids	camper_ids	confidence	description	reference
LBP_glycan	LBGP70-OL	galactan endo-1,6-β-galactosidase gene	galactan endo-1,6-β-galactosidase gene	GH30,GH5	2		EC:3.2.1.164	GH30,GH5		High	Backbone | (1→6)-β-Galp	https://doi.org/10.3390/foods11203177
LBP_glycan	LBGP70-OL	α-L-arabinofuranosidase gene	α-L-arabinofuranosidase gene	GH159,GH2,GH3,GH43,GH5,GH51,GH54,GH62	8		EC:3.2.1.55	GH159,GH2,GH3,GH43,GH5,GH51,GH54,GH62		High	Branch | (1→3)-α-Araf	https://doi.org/10.3390/foods11203177
LBP_glycan	LBGP70-OL	β-L-arabinofuranosidase gene	β-L-arabinofuranosidase gene	GH127,GH137,GH142,GH146	4		EC:3.2.1.185	GH127,GH137,GH142,GH146		High	Branch | (1→3)-β-Araf; (1→5)-β-Araf	https://doi.org/10.3390/foods11203177
LBP_glycan	LBGP70-OL	β-galactosidase gene; conditional specific exo/endo galactanase if side chain is continuous	β-galactosidase gene; conditional specific exo/endo galactanase if side chain is continuous	GH1,GH147,GH16,GH165,GH173,GH2,GH3,GH35,GH39,GH42,GH43,GH5,GH50,GH54	14		EC:3.2.1.145,EC:3.2.1.23	GH1,GH147,GH16,GH165,GH173,GH2,GH3,GH35,GH39,GH42,GH43,GH5,GH50,GH54		High	Branch | (1→3)-β-Galp	https://doi.org/10.3390/foods11203177
LBP_glycan	LBP-3	galactan endo-1,3-β-galactanase gene	galactan endo-1,3-β-galactanase gene	GH16,GH43	2		EC:3.2.1.181	GH16,GH43		High	Backbone | (1→3)-β-Galp	https://doi.org/10.3390/foods11203177
LBP_glycan	LBP-3	α-L-arabinofuranosidase gene; endo-α-1,5-arabinanase conditional	α-L-arabinofuranosidase gene; endo-α-1,5-arabinanase conditional	GH159,GH2,GH3,GH43,GH5,GH51,GH54,GH62	8		EC:3.2.1.55,EC:3.2.1.99	GH159,GH2,GH3,GH43,GH5,GH51,GH54,GH62		High	Branch | α-(1→3)-Araf; α-(1→4)-Araf; α-(1→5)-Araf	https://doi.org/10.3390/foods11203177
LBP_glycan	LBP-3	β-galactosidase gene	β-galactosidase gene	GH1,GH147,GH16,GH165,GH173,GH2,GH3,GH35,GH39,GH42,GH5,GH50,GH54	13		EC:3.2.1.23	GH1,GH147,GH16,GH165,GH173,GH2,GH3,GH35,GH39,GH42,GH5,GH50,GH54		High	Branch | β-(1→6)-Galp	https://doi.org/10.3390/foods11203177
LBP_glycan	LBP-W	galactan endo-1,6-β-galactosidase gene	galactan endo-1,6-β-galactosidase gene	GH30,GH5	2		EC:3.2.1.164	GH30,GH5		High	Backbone | (1→6)-β-Galp	https://doi.org/10.3390/foods11203177
LBP_glycan	LBP-W	α-L-rhamnosidase gene	α-L-rhamnosidase gene	GH106,GH78	2		EC:3.2.1.40	GH106,GH78		High	Branch | (1→3)-α-Rhap	https://doi.org/10.3390/foods11203177
LBP_glycan	LBP-W	β-galactosidase gene; conditional specific exo/endo galactanase if side chain is continuous	β-galactosidase gene; conditional specific exo/endo galactanase if side chain is continuous	GH1,GH147,GH16,GH165,GH173,GH2,GH3,GH35,GH39,GH42,GH5,GH50,GH54	13		EC:3.2.1.145,EC:3.2.1.23	GH1,GH147,GH16,GH165,GH173,GH2,GH3,GH35,GH39,GH42,GH5,GH50,GH54		High	Branch | (1→3)-β-Galp	https://doi.org/10.3390/foods11203177
