feature_class	module	feature	gene_symbol	ids	n_ids	ko_ids	ec_ids	cazy_ids	camper_ids	confidence	description	reference
LPS_biosynthesis	lipid A	lpxA	lpxA	K00677	1	K00677	EC:2.3.1.129				lpxA; UDP-N-acetylglucosamine acyltransferase | UDP-N-acetylglucosamine acyltransferase	https://www.kegg.jp/entry/K00677
LPS_biosynthesis	lipid A	lpxB	lpxB	K00748	1	K00748	EC:2.4.1.182				lpxB; lipid-A-disaccharide synthase | lipid-A-disaccharide synthase	https://www.kegg.jp/entry/K00748
LPS_biosynthesis	lipid A	lpxC	lpxC	K02535	1	K02535	EC:3.5.1.108				lpxC; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase | UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	https://www.kegg.jp/entry/K02535
LPS_biosynthesis	lipid A	lpxC-fabZ	lpxC-fabZ	K16363	1	K16363	EC:3.5.1.108,EC:4.2.1.59				lpxC-fabZ; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase | UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase	https://www.kegg.jp/entry/K16363
LPS_biosynthesis	lipid A	lpxD	lpxD	K02536	1	K02536	EC:2.3.1.191				lpxD; UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase | UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	https://www.kegg.jp/entry/K02536
LPS_biosynthesis	lipid A	lpxE	lpxE	K12977	1	K12977	EC:3.1.3.-				lpxE; lipid A 1-phosphatase | lipid A 1-phosphatase	https://www.kegg.jp/entry/K12977
LPS_biosynthesis	lipid A	lpxF	lpxF	K12978	1	K12978	EC:3.1.3.-				lpxF; lipid A 4'-phosphatase | lipid A 4'-phosphatase	https://www.kegg.jp/entry/K12978
LPS_biosynthesis	lipid A	lpxF	lpxF	K23159	1	K23159	EC:3.1.3.-				lpxF; lipid A 4'-phosphatase | lipid A 4'-phosphatase	https://www.kegg.jp/entry/K23159
LPS_biosynthesis	lipid A	lpxH	lpxH	K03269	1	K03269	EC:3.6.1.54				lpxH; UDP-2,3-diacylglucosamine hydrolase | UDP-2,3-diacylglucosamine hydrolase	https://www.kegg.jp/entry/K03269
LPS_biosynthesis	lipid A	lpxI	lpxI	K09949	1	K09949	EC:3.6.1.54				lpxI; UDP-2,3-diacylglucosamine hydrolase | UDP-2,3-diacylglucosamine hydrolase	https://www.kegg.jp/entry/K09949
LPS_biosynthesis	lipid A	lpxJ	lpxJ	K09778	1	K09778	EC:2.3.1.-				lpxJ; Kdo2-lipid IVA 3' secondary acyltransferase | Kdo2-lipid IVA 3' secondary acyltransferase	https://www.kegg.jp/entry/K09778
LPS_biosynthesis	lipid A	lpxK	lpxK	K00912	1	K00912	EC:2.7.1.130				lpxK; tetraacyldisaccharide 4'-kinase | tetraacyldisaccharide 4'-kinase	https://www.kegg.jp/entry/K00912
LPS_biosynthesis	lipid A	lpxL	lpxL	K02517	1	K02517	EC:2.3.1.-,EC:2.3.1.241				lpxL, htrB; Kdo2-lipid IVA lauroyltransferase/acyltransferase | Kdo2-lipid IVA lauroyltransferase/acyltransferase	https://www.kegg.jp/entry/K02517
LPS_biosynthesis	lipid A	lpxM	lpxM	K02560	1	K02560	EC:2.3.1.243				lpxM, msbB; lauroyl-Kdo2-lipid IVA myristoyltransferase | lauroyl-Kdo2-lipid IVA myristoyltransferase	https://www.kegg.jp/entry/K02560
LPS_biosynthesis	lipid A	lpxO	lpxO	K12979	1	K12979	EC:1.14.11.-				lpxO; beta-hydroxylase | beta-hydroxylase	https://www.kegg.jp/entry/K12979
LPS_biosynthesis	lipid A	lpxP	lpxP	K12974	1	K12974	EC:2.3.1.242				lpxP; KDO2-lipid IV(A) palmitoleoyltransferase | KDO2-lipid IV(A) palmitoleoyltransferase	https://www.kegg.jp/entry/K12974
LPS_biosynthesis	lipid A	lpxQ	lpxQ	K12980	1	K12980					lpxQ; lipid A oxidase | lipid A oxidase	https://www.kegg.jp/entry/K12980
