feature_class	module	feature	gene_symbol	ids	n_ids	ko_ids	ec_ids	cazy_ids	camper_ids	confidence	description	reference
SCFA48	butyrate:P1 Acetyl-CoA	BUT-01	Thl	K00626,K00632	2	K00626,K00632	EC:2.3.1.9			Multiple; see expanded mapping	Acetyl-CoA acetyltransferase / thiolase	Frolova 2022; Vital 2014; Louis & Flint 2017
SCFA48	butyrate:P1 Acetyl-CoA	BUT-02	Hbd	K00074	1	K00074	EC:1.1.1.157			K00074	3-hydroxybutyryl-CoA dehydrogenase	Frolova 2022; Vital 2014
SCFA48	butyrate:P1 Acetyl-CoA	BUT-03	Crt	K01692,K01825	2	K01692,K01825	EC:4.2.1.17,EC:4.2.1.55			Multiple; see expanded mapping	3-hydroxybutyryl-CoA dehydratase / crotonase	Frolova 2022; Vital 2014
SCFA48	butyrate:Shared terminal core	BUT-04	Bcd-EtfAB	K00248,K03521,K03522	3	K00248,K03521,K03522	EC:1.3.8.1			Multiple; see expanded mapping	Butyryl-CoA dehydrogenase–electron transfer flavoprotein complex	Frolova 2022; Vital 2014; Louis & Flint 2017
SCFA48	butyrate:P2 Succinate/4-hydroxybutyrate	BUT-05	AldD		0		EC:1.2.1.76			No specific KO identified	Succinic semialdehyde dehydrogenase, CoA-acylating	Frolova 2022
SCFA48	butyrate:P2 Succinate/4-hydroxybutyrate	BUT-06	AbfH	K00043	1	K00043	EC:1.1.1.61			K00043	4-hydroxybutyrate dehydrogenase	Frolova 2022
SCFA48	butyrate:P2 Succinate/4-hydroxybutyrate	BUT-07	Cat		0		EC:2.8.3.-			No specific KO identified	4-hydroxybutyrate CoA-transferase	Frolova 2022
SCFA48	butyrate:P2 Succinate/4-hydroxybutyrate	BUT-08	AbfD	K14534	1	K14534	EC:4.2.1.120			K14534	4-hydroxybutyryl-CoA dehydratase	Frolova 2022; Vital 2014
SCFA48	butyrate:P3 Glutamate/glutarate	BUT-09	GctA	K01039	1	K01039	EC:2.8.3.12			K01039	Glutaconate CoA-transferase subunit A	Frolova 2022; Vital 2014
SCFA48	butyrate:P3 Glutamate/glutarate	BUT-10	GctB	K01040	1	K01040	EC:2.8.3.12			K01040	Glutaconate CoA-transferase subunit B	Frolova 2022; Vital 2014
SCFA48	butyrate:P3 Glutamate/glutarate	BUT-11	HgdABC		0		EC:4.2.1.167			No confidently specific KO set identified	2-hydroxyglutaryl-CoA dehydratase complex	Frolova 2022; Vital 2014
SCFA48	butyrate:P3 Glutamate/glutarate	BUT-12	GcdABC		0		EC:7.2.4.5			No confidently specific KO set identified	Glutaconyl-CoA decarboxylase complex	Frolova 2022; Vital 2014
SCFA48	butyrate:P4 Lysine	BUT-13	KamA	K01843	1	K01843	EC:5.4.3.2			K01843	L-lysine 2,3-aminomutase	Frolova 2022; Vital 2014
SCFA48	butyrate:P4 Lysine	BUT-14	KamDE	K01844	1	K01844	EC:5.4.3.3			K01844	L-lysine 5,6-aminomutase complex	Frolova 2022; Vital 2014
SCFA48	butyrate:P4 Lysine	BUT-15	KDD		0		EC:1.4.1.-			No specific KO identified	3,5-diaminohexanoate dehydrogenase	Frolova 2022; Vital 2014
SCFA48	butyrate:P4 Lysine	BUT-16	KCE		0		EC:2.3.1.247			No specific KO identified	3-keto-5-aminohexanoate cleavage enzyme	Frolova 2022; Vital 2014
SCFA48	butyrate:P4 Lysine	BUT-17	KAL		0		EC:4.3.1.14			No specific KO identified	3-aminobutyryl-CoA ammonia-lyase	Frolova 2022; Vital 2014
SCFA48	butyrate:Terminal: CoA-transferase	BUT-18	CtfAB	K01027,K01028	2	K01027,K01028	EC:2.8.3.9			Multiple; see expanded mapping	Acetoacetyl-CoA / butyryl-CoA transferase complex	Frolova 2022; Vital 2014; Louis & Flint 2017
SCFA48	butyrate:Terminal: CoA-transferase	BUT-19	But		0		EC:2.8.3.8			No single specific KO identified	Butyryl-CoA:acetate CoA-transferase	Frolova 2022; Vital 2014; Louis & Flint 2017
SCFA48	butyrate:Terminal: kinase branch	BUT-20	Ptb	K00634	1	K00634	EC:2.3.1.19			K00634	Phosphate butyryltransferase	Frolova 2022; Vital 2014; Louis & Flint 2017
SCFA48	butyrate:Terminal: kinase branch	BUT-21	Buk	K00929	1	K00929	EC:2.7.2.7			K00929	Butyrate kinase	Frolova 2022; Vital 2014; Louis & Flint 2017
SCFA48	propionate:P1 Succinate	PRO-01	PST	K01026	1	K01026	EC:2.8.3.1			K01026	Propionate/succinate CoA-transferase	Frolova 2022; Louis & Flint 2017
SCFA48	propionate:P1 Succinate	PRO-02	AarC	K18118	1	K18118	EC:2.8.3.18			K18118	Succinyl-CoA:acetate CoA-transferase	Frolova 2022
